Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,11471.5 ± 30.0,0.000%,0.0%,0.000
0.005,10873.9 ± 788.3,0.099%,3.3%,36.507
0.010,9860.2 ± 604.7,0.165%,3.3%,34.803
0.020,5701.5 ± 938.0,0.536%,36.7%,34.864
0.025,2893.7 ± 976.1,1.092%,83.3%,34.480
0.030,1997.5 ± 687.0,1.341%,100.0%,25.433
0.035,1395.4 ± 472.7,1.516%,100.0%,29.971
0.050,1820.2 ± 164.5,1.372%,100.0%,32.901
