Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.0,11493.5 ± 29.9,0.000%,0.0%,0.000
0.005,11174.2 ± 35.0,0.096%,0.0%,2.932
0.01,9975.9 ± 514.1,0.207%,3.3%,3.017
0.015,7710.4 ± 881.6,0.446%,20.0%,2.865
0.02,5108.7 ± 1073.2,0.869%,43.3%,2.849
0.025,4255.8 ± 794.3,1.007%,60.0%,2.820
0.03,2321.9 ± 714.5,1.513%,100.0%,2.842
0.05,2123.6 ± 219.2,1.695%,100.0%,2.821

