Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,8105.6 ± 23.3,0.000%,0.0%,0.000
0.010,8100.2 ± 94.4,0.050%,0.0%,21.710
0.015,6195.9 ± 969.0,0.073%,16.7%,22.166
0.020,3904.6 ± 794.4,0.094%,56.7%,32.057
0.022,2612.7 ± 695.4,0.102%,76.7%,32.353
0.025,1581.9 ± 526.0,0.115%,96.7%,30.525
0.030,904.0 ± 199.1,0.135%,100.0%,31.203
0.035,744.8 ± 131.9,0.157%,100.0%,30.758
0.050,477.5 ± 75.0,0.236%,100.0%,31.554

