Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,11456.3 ± 36.8,0.000%,0.0%,0.000
0.010,9820.2 ± 813.5,0.231%,6.7%,42.791
0.015,8042.9 ± 1062.7,0.520%,20.0%,53.107
0.020,7772.1 ± 710.1,0.665%,6.7%,45.425
0.022,6660.2 ± 983.0,1.121%,16.7%,45.000
0.025,6205.8 ± 925.7,1.200%,16.7%,45.885
0.028,4632.3 ± 1018.4,2.055%,40.0%,52.470
0.030,3553.8 ± 1074.8,2.768%,56.7%,45.404
0.035,2034.2 ± 889.4,3.717%,96.7%,53.159
0.050,194.4 ± 202.0,4.746%,100.0%,57.564
