Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,8125.7 ± 22.7,0.000%,0.0%,0.000
0.005,7981.9 ± 257.1,0.033%,0.0%,4.348
0.010,7980.6 ± 176.5,0.065%,0.0%,4.257
0.015,6399.8 ± 886.2,0.095%,20.0%,4.271
0.020,4535.3 ± 910.8,0.123%,50.0%,4.244
0.025,2888.8 ± 806.0,0.150%,73.3%,4.131
0.030,1464.0 ± 392.5,0.173%,96.7%,4.116
0.050,596.3 ± 84.4,0.290%,100.0%,4.873
