Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,17648.0 ± 10.8,0.000%,0.0%,0.000
0.010,9364.4 ± 743.9,0.236%,13.3%,53.532
0.015,7318.7 ± 974.8,0.510%,73.3%,52.463
0.020,5578.5 ± 631.4,0.671%,100.0%,52.324
0.025,5029.9 ± 317.9,0.610%,100.0%,52.328
0.030,3914.9 ± 435.8,1.010%,100.0%,52.372
0.035,3334.7 ± 357.6,1.221%,100.0%,52.697
0.050,2644.6 ± 280.9,1.774%,100.0%,50.197
