Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,10074.3 ± 860.2,0.000%,0.0%,0.000
0.010,9397.9 ± 932.5,0.063%,6.7%,44.388
0.012,9337.1 ± 970.0,0.075%,13.3%,43.755
0.015,7045.8 ± 1390.9,0.093%,30.0%,43.919
0.018,6732.6 ± 1389.8,0.111%,43.3%,44.470
0.020,4539.6 ± 1393.9,0.123%,66.7%,44.000
0.025,4023.1 ± 816.4,0.152%,66.7%,44.101
0.027,3885.2 ± 889.0,0.163%,80.0%,43.747
0.030,2234.5 ± 540.4,0.181%,93.3%,43.930
0.035,2491.4 ± 568.3,0.210%,86.7%,43.837
0.050,1489.3 ± 290.1,0.298%,100.0%,44.317
