Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.0,17637.1 ± 20.6,0.000%,0.0%,0.000
0.005,15184.2 ± 1071.1,0.081%,6.7%,2.789
0.01,8213.6 ± 1051.7,0.280%,30.0%,3.883
0.015,5736.0 ± 1023.4,0.588%,96.7%,4.357
0.02,5061.6 ± 725.0,0.788%,100.0%,4.402
0.025,3208.5 ± 698.0,1.464%,100.0%,4.471
0.03,3631.5 ± 475.6,1.106%,100.0%,4.432
0.05,2071.4 ± 311.4,2.059%,100.0%,4.667

