Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,10037.6 ± 883.1,0.000%,0.0%,0.000
0.005,9765.6 ± 858.7,0.037%,10.0%,4.349
0.010,6943.3 ± 1275.9,0.073%,26.7%,4.306
0.015,4933.5 ± 1066.7,0.108%,53.3%,4.218
0.020,2493.4 ± 651.4,0.143%,93.3%,4.088
0.025,1692.1 ± 400.0,0.179%,100.0%,3.999
0.030,1238.0 ± 240.7,0.215%,100.0%,4.067
0.050,590.9 ± 132.0,0.370%,100.0%,4.050
