Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,8117.8 ± 18.2,0.000%,0.0%,0.000
0.005,7987.9 ± 23.3,0.028%,0.0%,34.345
0.010,6986.9 ± 605.9,0.055%,13.3%,34.672
0.015,6886.7 ± 793.4,0.080%,13.3%,34.615
0.020,6908.1 ± 837.3,0.106%,10.0%,34.729
0.025,6511.6 ± 641.6,0.130%,10.0%,34.853
0.030,5691.6 ± 789.2,0.154%,30.0%,34.702
0.035,5242.6 ± 959.2,0.178%,33.3%,34.677
0.040,4388.5 ± 906.8,0.200%,46.7%,34.445
0.045,3390.6 ± 889.7,0.223%,63.3%,35.256
0.050,2165.5 ± 618.1,0.248%,90.0%,34.682
