Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,17649.8 ± 16.6,0.000%,0.0%,0.000
0.005,15979.0 ± 1201.0,0.063%,6.7%,14.568
0.010,8560.0 ± 941.2,0.206%,30.0%,14.558
0.020,4376.0 ± 788.7,0.692%,100.0%,14.556
0.025,3666.1 ± 562.8,0.835%,100.0%,14.538
0.030,2983.5 ± 571.4,1.108%,100.0%,14.525
0.035,1963.6 ± 491.2,1.629%,100.0%,18.329
0.050,1659.3 ± 273.4,1.808%,100.0%,21.255
