Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,8124.2 ± 19.8,0.0000%,0.0%,0.000
0.010,7785.8 ± 354.2,0.0571%,0.0%,27.695
0.015,7417.8 ± 468.3,0.0838%,6.7%,28.260
0.018,6153.8 ± 976.9,0.0992%,20.0%,27.861
0.020,6469.7 ± 762.5,0.1089%,20.0%,28.450
0.023,4554.5 ± 966.1,0.1235%,46.7%,28.294
0.025,3552.4 ± 664.1,0.1333%,73.3%,27.733
0.030,2407.6 ± 609.5,0.1572%,83.3%,27.425
0.035,1298.0 ± 335.2,0.1822%,96.7%,27.241
0.050,691.0 ± 98.4,0.2640%,100.0%,27.530
