Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,10617.5 ± 162.1,0.000%,0.0%,0.000
0.010,9210.4 ± 5457.4,0.054%,0.0%,20.270
0.015,4371.0 ± 7761.0,0.082%,66.7%,20.122
0.020,2200.8 ± 2977.5,0.111%,100.0%,20.624
0.030,1461.6 ± 2654.6,0.163%,100.0%,21.179
0.050,508.6 ± 289.0,0.266%,100.0%,20.495
