Model,Epsilon,Reward,Drop_Rate(%),ASR(%),Avg_RPR(%),Latency(ms),Atk_Rate(%)
TQC,0.010,10700.41,0.00,0.00,0.0240,1.2137,31.89
TQC,0.020,9238.16,13.43,18.00,0.0476,1.2644,32.01
TQC,0.025,8384.05,21.44,32.00,0.0544,1.2451,29.49
TQC,0.030,8277.41,22.43,32.00,0.0669,1.2193,30.11
TQC,0.035,6502.79,39.06,56.00,0.0781,1.2212,30.50
TQC,0.040,5213.00,51.15,68.00,0.0814,1.2224,27.92
TQC,0.050,3412.91,68.02,94.00,0.0998,1.2252,27.26
